"","FIPS_CNTRY","OUT1980_lagged","OUT1980_Ii","OUT1980_Iisig","OUT1990_lagged","OUT1990_Ii","OUT1990_Iisig","OUT2000_lagged","OUT2000_Ii","OUT2000_Iisig","IN1980_lagged","IN1980_Ii","IN1980_Iisig","IN1990_lagged","IN1990_Ii","IN1990_Iisig","IN2000_lagged","IN2000_Ii","IN2000_Iisig"
"107","IN",1719133.5,6.09790043039777,1.24497902326841e-60,1640238.66666667,4.76782008688244,1.86158489069305e-38,1735609.16666667,5.12543037859504,3.4158665673929e-41,905201.5,1.56468534884339,6.22743232759356e-06,808229.666666667,0.494962782900174,0.0667744463157112,750516,0.0986565345003613,0.359943332455499
"108","IO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","IR",1211740.85714286,0.0311022556667174,0.459407268875579,1361333.42857143,0.0658607923507784,0.418977823273346,1674715.14285714,0.19940583352782,0.282797281946679,868723,-0.0230262537838002,0.522877046091744,790638.714285714,0.0160756541420117,0.474000954848237,683078,0.00232787508541958,0.490498819912507
"110","IS",484085.666666667,-0.000960266249173704,0.496760985706324,792461,-0.00513851578002217,0.501246476223472,933042.833333333,0.00992719463080326,0.485514814414821,211761.666666667,-0.100917570285841,0.606421656824143,321145.666666667,-0.0652450600365039,0.57307249152731,462590.833333333,-0.0424966175856118,0.553518876343144
"111","IT",401449.5,-0.18505762342352,0.686585311085809,389430.5,-0.301115924046077,0.789350652680351,454027.833333333,-0.254534252102984,0.743473215947517,1286315.16666667,0.224981330890856,0.261810242064288,1375523.5,0.200802656297773,0.269026220632959,1502771,0.196666324666445,0.241638648167603
"112","IV",472611.4,-0.00139668828710689,0.49747413773796,503015.6,0.0153266810885164,0.481004569619296,666284.2,-0.00672294594837571,0.502599275530513,100379.6,0.0692359160165214,0.426258527361704,156703,0.056541828876219,0.434092469982464,245705.2,0.0376373309865362,0.447192382071604
"113","IZ",690558.666666667,-0.0046864231540924,0.500752357197844,849717.166666667,0.0211841726677916,0.47284649744967,1046289.66666667,0.0812959401932171,0.41191043316993,711622.166666667,-0.0412897900374381,0.541381081554752,1475305.16666667,-0.116123054563801,0.632010869286922,1622074.33333333,-0.0926808840676296,0.621678790708968
"114","JA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","JE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","JM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","JN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","JO",349522.4,-0.0130302346197364,0.508830441761894,523393.6,-0.00688819782136323,0.502857769924494,701782.6,0.013259027778605,0.483640297745553,859992.8,-0.0613533415207426,0.557906042104213,1555398.4,-0.0893104268253367,0.592495214042629,1869431.4,-0.0523336106162767,0.561281277064849
"119","JQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","JU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
